Model,RMSE,MAE,MAPE (%),R2,Train Time (s),Test Time (s)
Naive (lag-1),0.0,0.0,0.0,1.0,0.0,
GRU,0.7571448171972558,0.6524598935033118,11.017566871983409,0.7361595692725458,453.74644351005554,1.5653362274169922
LSTM,0.7629738084375742,0.6564597175035002,10.983990177971819,0.732081502592674,1126.3020541667938,2.9053850173950195
RNN,0.7633504834512707,0.6539005937906872,11.049462760716262,0.734539889447407,181.51996493339539,1.1038661003112793
TCN,0.7692965220142335,0.6591540627222129,11.309958081576632,0.7286752185960357,71.20496869087219,0.7959833145141602
Transformer,1.029405498970337,0.8336951502419301,13.921094378099127,0.5122958992030859,430.3799502849579,1.3333637714385986
SARIMA (hourly),1.4834389488515627,1.190077785005339,21.275282519171835,-0.005918053460880701,90.58471250534058,0.2318251132965088
ARIMA,2.9974823871089176,2.5945657710077445,67.30744010247759,-0.00014130479653928774,15.652228116989136,0.39420342445373535
