Model,RMSE,MAE,MAPE (%),R2,Train Time (s),Test Time (s)
LSTM (base),0.7629738084375742,0.6564597175035002,10.983990177971819,0.732081502592674,1126.3020541667938,2.9053850173950195
LSTM (Keras Tuner),0.7629738084375742,0.6601899245599278,10.992894483532128,0.728330892550233,1173.1197798252106,3.132263660430908
LSTM (grid search),0.7666763011306118,0.6597274826413416,11.0091986441939,0.7294749304360268,915.086412191391,2.010615825653076
