Model,RMSE,MAE,MAPE (%),R2,Train Time (s),Test Time (s)
GRU (base),0.7571448171972558,0.6524598935033118,11.017566871983409,0.7361595692725458,453.74644351005554,1.5653362274169922
GRU (grid search),0.7571448171972558,0.6537260035594303,10.996282534582145,0.7346215212061404,745.7908573150635,2.026930332183838
GRU (Keras Tuner),0.7571448171972558,0.6602084467620819,10.979409981048196,0.7284846377800707,872.3990919589996,2.2484545707702637
